sample	unit	assembly	fq1	fq2
SRR6872437	1	SRR6872437	SRR6872437	SRR6872437
SRR8573788	1	SRR8573788	SRR8573788	SRR8573788
SRR8573789	1	SRR8573789	SRR8573789	SRR8573789
SRR8573790	1	SRR8573790	SRR8573790	SRR8573790
SRR8573791	1	SRR8573791	SRR8573791	SRR8573791
SRR8573793	1	SRR8573793	SRR8573793	SRR8573793
SRR8573796	1	SRR8573796	SRR8573796	SRR8573796
SRR8573804	1	SRR8573804	SRR8573804	SRR8573804
SRR8573807	1	SRR8573807	SRR8573807	SRR8573807
SRR6429784	1	SRR6429784	SRR6429784	SRR6429784
SRR6429785	1	SRR6429785	SRR6429785	SRR6429785
SRR6429786	1	SRR6429786	SRR6429786	SRR6429786
SRR6429787	1	SRR6429787	SRR6429787	SRR6429787
SRR6429788	1	SRR6429788	SRR6429788	SRR6429788
SRR6429789	1	SRR6429789	SRR6429789	SRR6429789
SRR6429790	1	SRR6429790	SRR6429790	SRR6429790
SRR6429791	1	SRR6429791	SRR6429791	SRR6429791
SRR6429792	1	SRR6429792	SRR6429792	SRR6429792
SRR6429793	1	SRR6429793	SRR6429793	SRR6429793
SRR6429794	1	SRR6429794	SRR6429794	SRR6429794
SRR6429795	1	SRR6429795	SRR6429795	SRR6429795
SRR6429796	1	SRR6429796	SRR6429796	SRR6429796
SRR6429797	1	SRR6429797	SRR6429797	SRR6429797
SRR6429798	1	SRR6429798	SRR6429798	SRR6429798
SRR6429799	1	SRR6429799	SRR6429799	SRR6429799
SRR6429800	1	SRR6429800	SRR6429800	SRR6429800
SRR6429801	1	SRR6429801	SRR6429801	SRR6429801
SRR6429802	1	SRR6429802	SRR6429802	SRR6429802
SRR6429803	1	SRR6429803	SRR6429803	SRR6429803
SRR6429804	1	SRR6429804	SRR6429804	SRR6429804
SRR6429805	1	SRR6429805	SRR6429805	SRR6429805
SRR12326496	1	SRR12326496	SRR12326496	SRR12326496
SRR12326541	1	SRR12326541	SRR12326541	SRR12326541
SRR13727143	1	SRR13727143	SRR13727143	SRR13727143
SRR12325978	1	SRR12325978	SRR12325978	SRR12325978
SRR12326204	1	SRR12326204	SRR12326204	SRR12326204
SRR12327456	1	SRR12327456	SRR12327456	SRR12327456
SRR9317881	1	SRR9317881	SRR9317881	SRR9317881
SRR13208889	1	SRR13208889	SRR13208889	SRR13208889
SRR13208890	1	SRR13208890	SRR13208890	SRR13208890
SRR13208891	1	SRR13208891	SRR13208891	SRR13208891
SRR13208892	1	SRR13208892	SRR13208892	SRR13208892
SRR13208893	1	SRR13208893	SRR13208893	SRR13208893
SRR13208894	1	SRR13208894	SRR13208894	SRR13208894
SRR13208895	1	SRR13208895	SRR13208895	SRR13208895
SRR13208896	1	SRR13208896	SRR13208896	SRR13208896
SRR13208897	1	SRR13208897	SRR13208897	SRR13208897
SRR13208898	1	SRR13208898	SRR13208898	SRR13208898
SRR13208899	1	SRR13208899	SRR13208899	SRR13208899
SRR13208900	1	SRR13208900	SRR13208900	SRR13208900
SRR13208901	1	SRR13208901	SRR13208901	SRR13208901
SRR13208902	1	SRR13208902	SRR13208902	SRR13208902
SRR13208903	1	SRR13208903	SRR13208903	SRR13208903
SRR13208904	1	SRR13208904	SRR13208904	SRR13208904
SRR13208905	1	SRR13208905	SRR13208905	SRR13208905
SRR13208906	1	SRR13208906	SRR13208906	SRR13208906
SRR13208907	1	SRR13208907	SRR13208907	SRR13208907
SRR13208908	1	SRR13208908	SRR13208908	SRR13208908
SRR13208909	1	SRR13208909	SRR13208909	SRR13208909
SRR13208910	1	SRR13208910	SRR13208910	SRR13208910
SRR12334050	1	SRR12334050	SRR12334050	SRR12334050
SRR12332666	1	SRR12332666	SRR12332666	SRR12332666
SRR12396704	1	SRR12396704	SRR12396704	SRR12396704
SRR12354360	1	SRR12354360	SRR12354360	SRR12354360
SRR12354809	1	SRR12354809	SRR12354809	SRR12354809
SRR12356872	1	SRR12356872	SRR12356872	SRR12356872
SRR13735271	1	SRR13735271	SRR13735271	SRR13735271
SRR13735366	1	SRR13735366	SRR13735366	SRR13735366
SRR13706099	1	SRR13706099	SRR13706099	SRR13706099
SRR13706189	1	SRR13706189	SRR13706189	SRR13706189
SRR12450810	1	SRR12450810	SRR12450810	SRR12450810
SRR12450756	1	SRR12450756	SRR12450756	SRR12450756
SRR12451397	1	SRR12451397	SRR12451397	SRR12451397
SRR12328016	1	SRR12328016	SRR12328016	SRR12328016
SRR12339334	1	SRR12339334	SRR12339334	SRR12339334
SRR12340499	1	SRR12340499	SRR12340499	SRR12340499
SRR12341065	1	SRR12341065	SRR12341065	SRR12341065
SRR13695361	1	SRR13695361	SRR13695361	SRR13695361
SRR9317867	1	SRR9317867	SRR9317867	SRR9317867
SRR9317871	1	SRR9317871	SRR9317871	SRR9317871
SRR9317873	1	SRR9317873	SRR9317873	SRR9317873
SRR9317874	1	SRR9317874	SRR9317874	SRR9317874
SRR9317877	1	SRR9317877	SRR9317877	SRR9317877
SRR9317878	1	SRR9317878	SRR9317878	SRR9317878
SRR9317879	1	SRR9317879	SRR9317879	SRR9317879
